Transaction_ID,User_ID,Transaction_Amount,Transaction_Type,Transaction_Time,Location,Fraudulent
T00063,U0841,60.85,POS,2025-01-03 14:00:00,Urban,0
T00064,U0167,0.22,Online,2025-01-03 15:00:00,Urban,0
T00065,U0274,9.13,Mobile,2025-01-03 16:00:00,Urban,0
T00066,U0388,62.42,POS,2025-01-03 17:00:00,Suburban,0
T00067,U0601,54.89,Online,2025-01-03 18:00:00,Urban,0
T00068,U0316,169.14,Online,2025-01-03 19:00:00,Suburban,0
T00069,U0014,71.57,POS,2025-01-03 20:00:00,Suburban,0
T00070,U0242,150.57,Online,2025-01-03 21:00:00,Urban,0
T00071,U0777,60.62,Online,2025-01-03 22:00:00,Suburban,0
T00072,U0346,17.69,Online,2025-01-03 23:00:00,Urban,0
T00073,U0565,5.57,Online,2025-01-04 00:00:00,Suburban,0
T00074,U0898,76.12,Online,2025-01-04 01:00:00,Suburban,0
T00075,U0340,51.66,Online,2025-01-04 02:00:00,Rural,0
T00076,U0092,2.47,Online,2025-01-04 03:00:00,Urban,0
T00077,U0367,22.32,POS,2025-01-04 04:00:00,Urban,0
T00078,U0956,157.1,POS,2025-01-04 05:00:00,Urban,0
T00079,U0455,34.7,Online,2025-01-04 06:00:00,Urban,0
T00080,U0428,28.35,Online,2025-01-04 07:00:00,Suburban,0
T00081,U0509,153.0,POS,2025-01-04 08:00:00,Rural,1
T00082,U0776,11.72,Online,2025-01-04 09:00:00,Urban,0
T00083,U0943,23.0,Online,2025-01-04 10:00:00,Urban,0
T00084,U0035,23.09,Online,2025-01-04 11:00:00,Urban,0
T00085,U0206,2.69,ATM,2025-01-04 12:00:00,Urban,0
T00086,U0081,72.96,POS,2025-01-04 13:00:00,Urban,0
T00087,U0932,26.94,POS,2025-01-04 14:00:00,Urban,0
T00088,U0562,86.35,POS,2025-01-04 15:00:00,Suburban,0
T00089,U0872,94.97,POS,2025-01-04 16:00:00,Urban,0
T00090,U0388,11.91,Online,2025-01-04 17:00:00,Urban,0
T00091,U0002,53.55,POS,2025-01-04 18:00:00,Suburban,0
T00092,U0390,31.96,Online,2025-01-04 19:00:00,Urban,0
T00093,U0566,106.08,POS,2025-01-04 20:00:00,Suburban,0
T00094,U0106,12.15,POS,2025-01-04 21:00:00,Suburban,0
T00095,U0772,56.63,POS,2025-01-04 22:00:00,Suburban,1
T00096,U0822,46.79,Online,2025-01-04 23:00:00,Urban,0
T00097,U0477,17.5,Online,2025-01-05 00:00:00,Urban,0
T00098,U0703,7.34,POS,2025-01-05 01:00:00,Suburban,0
T00099,U0402,52.73,POS,2025-01-05 02:00:00,Suburban,0
T00100,U0730,67.08,ATM,2025-01-05 03:00:00,Urban,0
T00101,U0556,18.96,Online,2025-01-05 04:00:00,Urban,0
T00102,U0162,51.76,POS,2025-01-05 05:00:00,Urban,0
T00103,U0202,25.14,POS,2025-01-05 06:00:00,Urban,0
T00104,U0958,62.45,ATM,2025-01-05 07:00:00,Urban,0
T00105,U0996,11.11,POS,2025-01-05 08:00:00,Urban,0
T00106,U0270,110.46,POS,2025-01-05 09:00:00,Urban,0
T00107,U0863,16.94,POS,2025-01-05 10:00:00,Suburban,0
T00108,U0816,22.93,POS,2025-01-05 11:00:00,Urban,0
T00109,U0271,2.99,Mobile,2025-01-05 12:00:00,Suburban,0
T00110,U0456,5.91,Online,2025-01-05 13:00:00,Suburban,0
T00111,U0462,36.27,Online,2025-01-05 14:00:00,Urban,0
T00112,U0727,15.57,Mobile,2025-01-05 15:00:00,Suburban,0
T00113,U0252,90.24,POS,2025-01-05 16:00:00,Suburban,0
T00114,U0702,0.74,POS,2025-01-05 17:00:00,Urban,0
T00115,U0296,23.83,Online,2025-01-05 18:00:00,Urban,0
T00116,U0725,20.58,Online,2025-01-05 19:00:00,Urban,0
T00117,U0720,0.98,POS,2025-01-05 20:00:00,Rural,0
T00118,U0749,6.64,POS,2025-01-05 21:00:00,Suburban,0
T00119,U0338,26.69,Online,2025-01-05 22:00:00,Urban,0
T00120,U0879,33.95,Online,2025-01-05 23:00:00,Suburban,0
T00121,U0053,25.9,ATM,2025-01-06 00:00:00,Urban,0
T00122,U0792,37.85,Online,2025-01-06 01:00:00,Urban,0
T00123,U0922,45.21,ATM,2025-01-06 02:00:00,Suburban,0
T00124,U0217,0.5,Online,2025-01-06 03:00:00,Urban,0
T00125,U0764,31.19,POS,2025-01-06 04:00:00,Suburban,0
T00126,U0188,165.52,Mobile,2025-01-06 05:00:00,Suburban,0
T00127,U0380,36.6,POS,2025-01-06 06:00:00,Suburban,0
T00128,U0493,56.59,Online,2025-01-06 07:00:00,Urban,0
T00129,U0041,18.69,POS,2025-01-06 08:00:00,Suburban,0
T00130,U0157,74.36,Online,2025-01-06 09:00:00,Rural,0
T00131,U0015,74.12,Online,2025-01-06 10:00:00,Urban,0
T00132,U0813,36.83,Mobile,2025-01-06 11:00:00,Urban,0
T00133,U0065,186.51,POS,2025-01-06 12:00:00,Urban,0
T00134,U0857,6.71,POS,2025-01-06 13:00:00,Suburban,0
T00135,U0839,0.85,Online,2025-01-06 14:00:00,Suburban,0
T00136,U0521,73.52,Online,2025-01-06 15:00:00,Urban,0
T00137,U0344,82.29,Online,2025-01-06 16:00:00,Suburban,0
T00138,U0129,6.4,POS,2025-01-06 17:00:00,Urban,0
T00139,U0648,15.43,POS,2025-01-06 18:00:00,Suburban,0
T00140,U0472,0.89,POS,2025-01-06 19:00:00,Urban,0
T00141,U0063,17.36,ATM,2025-01-06 20:00:00,Urban,0
T00142,U0139,74.17,Online,2025-01-06 21:00:00,Urban,0
T00143,U0499,36.49,Online,2025-01-06 22:00:00,Urban,0
T00144,U0593,21.39,Online,2025-01-06 23:00:00,Suburban,0
T00145,U0392,23.24,Online,2025-01-07 00:00:00,Urban,0
T00146,U0675,0.07,Online,2025-01-07 01:00:00,Urban,0
T00147,U0419,17.82,Mobile,2025-01-07 02:00:00,Urban,0
T00148,U0289,51.99,Online,2025-01-07 03:00:00,Urban,0
T00149,U0379,182.86,Mobile,2025-01-07 04:00:00,Suburban,0
T00150,U0773,93.89,Online,2025-01-07 05:00:00,Suburban,0
T00151,U0490,1.19,Mobile,2025-01-07 06:00:00,Urban,0
T00152,U0231,114.41,POS,2025-01-07 07:00:00,Urban,0
T00153,U0041,76.44,Mobile,2025-01-07 08:00:00,Urban,0
T00154,U0028,75.79,Online,2025-01-07 09:00:00,Rural,0
T00155,U0135,30.62,POS,2025-01-07 10:00:00,Rural,0
T00156,U0201,25.38,Mobile,2025-01-07 11:00:00,Suburban,0
T00157,U0840,18.04,Online,2025-01-07 12:00:00,Rural,0
T00158,U0780,3.4,Online,2025-01-07 13:00:00,Suburban,0
T00159,U0930,12.95,Online,2025-01-07 14:00:00,Suburban,0
T00160,U0033,14.16,Mobile,2025-01-07 15:00:00,Urban,0
T00161,U0048,33.09,POS,2025-01-07 16:00:00,Urban,0
T00162,U0503,68.81,POS,2025-01-07 17:00:00,Urban,0
T00163,U0407,32.1,Online,2025-01-07 18:00:00,Urban,0
T00164,U0574,2.98,Online,2025-01-07 19:00:00,Suburban,0
T00165,U0728,158.25,ATM,2025-01-07 20:00:00,Urban,0
T00166,U0805,142.99,Online,2025-01-07 21:00:00,Urban,0
T00167,U0099,76.9,POS,2025-01-07 22:00:00,Urban,0
T00168,U0684,237.38,Mobile,2025-01-07 23:00:00,Urban,0
T00169,U0872,39.32,Online,2025-01-08 00:00:00,Urban,0
T00170,U0726,164.53,POS,2025-01-08 01:00:00,Rural,0
T00171,U0987,3.93,Online,2025-01-08 02:00:00,Suburban,0
T00172,U0547,22.76,POS,2025-01-08 03:00:00,Suburban,0
T00173,U0961,12.77,Online,2025-01-08 04:00:00,Urban,0
T00174,U0739,10.9,POS,2025-01-08 05:00:00,Urban,0
T00175,U0613,7.59,Online,2025-01-08 06:00:00,Urban,0
T00176,U0943,48.7,Online,2025-01-08 07:00:00,Suburban,0
T00177,U0462,76.01,POS,2025-01-08 08:00:00,Urban,0
T00178,U0643,43.17,Online,2025-01-08 09:00:00,Urban,1
T00179,U0769,7.95,POS,2025-01-08 10:00:00,Suburban,0
T00180,U0005,83.33,Online,2025-01-08 11:00:00,Urban,0
T00181,U0218,50.52,POS,2025-01-08 12:00:00,Urban,0
T00182,U0503,24.56,Online,2025-01-08 13:00:00,Urban,0
T00183,U0767,56.06,POS,2025-01-08 14:00:00,Urban,0
T00184,U0398,15.05,Online,2025-01-08 15:00:00,Urban,0
T00185,U0871,21.17,Online,2025-01-08 16:00:00,Urban,0
T00186,U0795,124.74,Online,2025-01-08 17:00:00,Suburban,0
T00187,U0393,17.16,POS,2025-01-08 18:00:00,Suburban,0
T00188,U0207,31.74,Online,2025-01-08 19:00:00,Urban,0
T00189,U0015,110.43,ATM,2025-01-08 20:00:00,Suburban,0
T00190,U0858,61.5,ATM,2025-01-08 21:00:00,Urban,0
T00191,U0554,3.21,Online,2025-01-08 22:00:00,Urban,0
T00192,U0892,7.97,POS,2025-01-08 23:00:00,Urban,0
T00193,U0461,0.39,Online,2025-01-09 00:00:00,Suburban,0
T00194,U0691,49.84,Online,2025-01-09 01:00:00,Urban,0
T00195,U0575,29.68,POS,2025-01-09 02:00:00,Suburban,0
T00196,U0864,7.21,POS,2025-01-09 03:00:00,Suburban,0
T00197,U0743,158.43,POS,2025-01-09 04:00:00,Urban,0
T00198,U0241,37.71,Online,2025-01-09 05:00:00,Suburban,0
T00199,U0564,13.85,Online,2025-01-09 06:00:00,Rural,0
T00200,U0096,34.72,Online,2025-01-09 07:00:00,Urban,0
T00201,U0900,56.91,POS,2025-01-09 08:00:00,Urban,0
T00202,U0734,3.97,POS,2025-01-09 09:00:00,Suburban,0
T00203,U0485,16.06,POS,2025-01-09 10:00:00,Suburban,0
T00204,U0407,82.24,Online,2025-01-09 11:00:00,Urban,0
T00205,U0231,30.78,Online,2025-01-09 12:00:00,Urban,0
T00206,U0749,39.55,Online,2025-01-09 13:00:00,Urban,0
T00207,U0655,28.35,Online,2025-01-09 14:00:00,Urban,0
T00208,U0171,2.24,Online,2025-01-09 15:00:00,Urban,0
T00209,U0541,9.06,ATM,2025-01-09 16:00:00,Rural,0
T00210,U0036,29.49,ATM,2025-01-09 17:00:00,Suburban,0
T00211,U0525,11.73,POS,2025-01-09 18:00:00,Urban,0
T00212,U0160,2.56,Online,2025-01-09 19:00:00,Suburban,0
T00213,U0839,92.78,Online,2025-01-09 20:00:00,Suburban,0
T00214,U0699,198.68,ATM,2025-01-09 21:00:00,Urban,0
T00215,U0243,78.79,Online,2025-01-09 22:00:00,Urban,0
T00216,U0086,96.13,Mobile,2025-01-09 23:00:00,Urban,0
T00217,U0796,13.85,Online,2025-01-10 00:00:00,Suburban,0
T00218,U0578,161.73,Online,2025-01-10 01:00:00,Urban,0
T00219,U0682,10.97,Mobile,2025-01-10 02:00:00,Rural,0
T00220,U0557,151.24,Online,2025-01-10 03:00:00,Urban,0
T00221,U0574,263.14,POS,2025-01-10 04:00:00,Urban,0
T00222,U0953,62.19,POS,2025-01-10 05:00:00,Urban,0
T00223,U0646,198.55,Online,2025-01-10 06:00:00,Urban,0
T00224,U0796,42.15,Online,2025-01-10 07:00:00,Suburban,0
T00225,U0028,15.02,POS,2025-01-10 08:00:00,Rural,0
T00226,U0620,28.72,POS,2025-01-10 09:00:00,Urban,0
T00227,U0556,45.02,Online,2025-01-10 10:00:00,Rural,0
T00228,U0340,3.79,Mobile,2025-01-10 11:00:00,Suburban,0
T00229,U0798,48.69,Online,2025-01-10 12:00:00,Urban,0
T00230,U0958,198.64,Online,2025-01-10 13:00:00,Suburban,0
T00231,U0331,10.54,Online,2025-01-10 14:00:00,Urban,0
T00232,U0640,78.65,Online,2025-01-10 15:00:00,Urban,0
T00233,U0506,119.24,Online,2025-01-10 16:00:00,Urban,0
T00234,U0348,143.85,Mobile,2025-01-10 17:00:00,Suburban,0
T00235,U0473,161.11,Online,2025-01-10 18:00:00,Urban,0
T00236,U0231,36.85,Online,2025-01-10 19:00:00,Suburban,0
T00237,U0190,189.29,Online,2025-01-10 20:00:00,Suburban,0
T00238,U0225,70.8,POS,2025-01-10 21:00:00,Urban,0
T00239,U0385,8.82,ATM,2025-01-10 22:00:00,Urban,0
T00240,U0377,32.4,Online,2025-01-10 23:00:00,Urban,0
T00241,U0283,63.35,Online,2025-01-11 00:00:00,Urban,0
T00242,U0958,14.21,Online,2025-01-11 01:00:00,Urban,0
T00243,U0633,51.17,Online,2025-01-11 02:00:00,Urban,0
T00244,U0628,54.92,Online,2025-01-11 03:00:00,Urban,0
T00245,U0973,8.88,Online,2025-01-11 04:00:00,Urban,0
T00246,U0745,41.63,Online,2025-01-11 05:00:00,Urban,0
T00247,U0259,73.84,POS,2025-01-11 06:00:00,Urban,0
T00248,U0359,34.55,Online,2025-01-11 07:00:00,Suburban,0
T00249,U0710,0.61,Mobile,2025-01-11 08:00:00,Rural,0
T00250,U0456,0.45,Mobile,2025-01-11 09:00:00,Urban,0
T00251,U0411,22.08,POS,2025-01-11 10:00:00,Urban,0
T00252,U0649,130.32,Online,2025-01-11 11:00:00,Urban,0
T00253,U0318,12.98,Online,2025-01-11 12:00:00,Urban,0
T00254,U0677,50.31,Online,2025-01-11 13:00:00,Urban,0
T00255,U0225,12.56,POS,2025-01-11 14:00:00,Suburban,0
T00256,U0819,19.41,Online,2025-01-11 15:00:00,Rural,0
T00257,U0234,94.21,ATM,2025-01-11 16:00:00,Urban,0
T00258,U0684,65.26,Mobile,2025-01-11 17:00:00,Suburban,0
T00259,U0664,5.01,Online,2025-01-11 18:00:00,Urban,0
T00260,U0975,27.99,POS,2025-01-11 19:00:00,Urban,0
T00261,U0827,1.48,Online,2025-01-11 20:00:00,Urban,0
T00262,U0374,32.78,Online,2025-01-11 21:00:00,Urban,0
T00263,U0672,54.3,Online,2025-01-11 22:00:00,Urban,0
T00264,U0608,6.31,Online,2025-01-11 23:00:00,Urban,0
T00265,U0472,17.05,ATM,2025-01-12 00:00:00,Urban,0
T00266,U0233,25.36,Online,2025-01-12 01:00:00,Urban,0
T00267,U0692,125.99,Online,2025-01-12 02:00:00,Suburban,0
T00268,U0113,249.95,POS,2025-01-12 03:00:00,Rural,0
T00269,U0830,2.3,POS,2025-01-12 04:00:00,Urban,0
T00270,U0497,71.57,Online,2025-01-12 05:00:00,Urban,0
T00271,U0442,23.24,ATM,2025-01-12 06:00:00,Urban,0
T00272,U0564,24.92,POS,2025-01-12 07:00:00,Suburban,0
T00273,U0268,70.18,Online,2025-01-12 08:00:00,Urban,0
T00274,U0510,125.31,Online,2025-01-12 09:00:00,Urban,0
T00275,U0807,150.72,Online,2025-01-12 10:00:00,Urban,0
T00276,U0386,215.15,Online,2025-01-12 11:00:00,Urban,1
T00277,U0387,22.09,POS,2025-01-12 12:00:00,Urban,0
T00278,U0113,77.45,ATM,2025-01-12 13:00:00,Rural,0
T00279,U0613,14.45,Online,2025-01-12 14:00:00,Suburban,0
T00280,U0625,41.51,Online,2025-01-12 15:00:00,Urban,0
T00281,U0952,22.2,Online,2025-01-12 16:00:00,Urban,0
T00282,U0081,53.45,Online,2025-01-12 17:00:00,Urban,0
T00283,U0699,13.75,POS,2025-01-12 18:00:00,Urban,1
T00284,U0113,10.63,POS,2025-01-12 19:00:00,Suburban,0
T00285,U0002,125.2,Online,2025-01-12 20:00:00,Urban,0
T00286,U0642,5.37,Online,2025-01-12 21:00:00,Urban,0
T00287,U0220,35.26,Online,2025-01-12 22:00:00,Urban,1
T00288,U0566,12.48,Online,2025-01-12 23:00:00,Suburban,0
T00289,U0855,1.99,Online,2025-01-13 00:00:00,Suburban,0
T00290,U0997,1.83,Online,2025-01-13 01:00:00,Urban,0
T00291,U0736,9.63,Online,2025-01-13 02:00:00,Urban,0
T00292,U0225,100.78,Online,2025-01-13 03:00:00,Urban,0
T00293,U0385,16.6,Online,2025-01-13 04:00:00,Rural,0
T00294,U0403,150.25,Online,2025-01-13 05:00:00,Urban,0
T00295,U0638,43.57,POS,2025-01-13 06:00:00,Urban,0
T00296,U0130,28.69,Online,2025-01-13 07:00:00,Urban,0
T00297,U0053,43.39,Mobile,2025-01-13 08:00:00,Suburban,0
T00298,U0684,36.36,Online,2025-01-13 09:00:00,Urban,0
T00299,U0730,71.1,Online,2025-01-13 10:00:00,Urban,0
T00300,U0672,16.6,Online,2025-01-13 11:00:00,Urban,0
T00301,U0710,21.77,Online,2025-01-13 12:00:00,Suburban,0
T00302,U0416,112.26,ATM,2025-01-13 13:00:00,Suburban,0
T00303,U0247,146.36,Online,2025-01-13 14:00:00,Suburban,0
T00304,U0836,111.54,Mobile,2025-01-13 15:00:00,Urban,0
T00305,U0439,27.19,ATM,2025-01-13 16:00:00,Urban,0
T00306,U0203,75.79,POS,2025-01-13 17:00:00,Rural,0
T00307,U0184,32.35,POS,2025-01-13 18:00:00,Urban,0
T00308,U0123,34.41,POS,2025-01-13 19:00:00,Suburban,0
T00309,U0401,11.45,Online,2025-01-13 20:00:00,Suburban,0
T00310,U0767,44.72,POS,2025-01-13 21:00:00,Urban,0
T00311,U0294,10.3,Online,2025-01-13 22:00:00,Urban,0
T00312,U0280,20.14,Online,2025-01-13 23:00:00,Suburban,0
T00313,U0837,96.56,Online,2025-01-14 00:00:00,Suburban,0
T00314,U0884,11.6,POS,2025-01-14 01:00:00,Urban,0
T00315,U0610,3.69,ATM,2025-01-14 02:00:00,Urban,0
T00316,U0198,3.58,Online,2025-01-14 03:00:00,Urban,0
T00317,U0982,141.33,ATM,2025-01-14 04:00:00,Urban,0
T00318,U0907,35.35,Online,2025-01-14 05:00:00,Urban,0
T00319,U0511,26.33,Online,2025-01-14 06:00:00,Urban,0
T00320,U0752,83.27,Online,2025-01-14 07:00:00,Rural,0
T00321,U0144,90.34,Online,2025-01-14 08:00:00,Suburban,0
T00322,U0609,20.19,Online,2025-01-14 09:00:00,Suburban,0
T00323,U0201,59.15,POS,2025-01-14 10:00:00,Urban,0
T00324,U0124,73.73,ATM,2025-01-14 11:00:00,Urban,0
T00325,U0187,53.16,Online,2025-01-14 12:00:00,Rural,0
T00326,U0326,8.22,Online,2025-01-14 13:00:00,Urban,0
T00327,U0464,104.33,ATM,2025-01-14 14:00:00,Urban,0
T00328,U0349,38.73,POS,2025-01-14 15:00:00,Urban,0
T00329,U0771,16.6,Online,2025-01-14 16:00:00,Suburban,0
T00330,U0660,27.69,Online,2025-01-14 17:00:00,Suburban,0
T00331,U0764,1.91,ATM,2025-01-14 18:00:00,Urban,0
T00332,U0955,6.84,POS,2025-01-14 19:00:00,Suburban,0
T00333,U0932,72.52,Online,2025-01-14 20:00:00,Urban,0
T00334,U0403,0.0,Online,2025-01-14 21:00:00,Urban,0
T00335,U0346,26.94,ATM,2025-01-14 22:00:00,Suburban,0
T00336,U0963,36.96,Online,2025-01-14 23:00:00,Suburban,0
T00337,U0511,2.81,Mobile,2025-01-15 00:00:00,Urban,0
T00338,U0147,180.74,Online,2025-01-15 01:00:00,Urban,0
T00339,U0148,12.82,POS,2025-01-15 02:00:00,Suburban,0
T00340,U0864,18.13,Online,2025-01-15 03:00:00,Suburban,0
T00341,U0711,18.12,Online,2025-01-15 04:00:00,Suburban,0
T00342,U0820,13.1,ATM,2025-01-15 05:00:00,Urban,0
T00343,U0489,0.07,Online,2025-01-15 06:00:00,Rural,0
T00344,U0929,65.35,POS,2025-01-15 07:00:00,Rural,0
T00345,U0936,170.33,Online,2025-01-15 08:00:00,Urban,0
T00346,U0640,12.7,Online,2025-01-15 09:00:00,Suburban,0
T00347,U0551,54.39,Online,2025-01-15 10:00:00,Urban,0
T00348,U0338,67.72,POS,2025-01-15 11:00:00,Urban,0
T00349,U0872,94.33,Online,2025-01-15 12:00:00,Suburban,0
T00350,U0641,27.46,Online,2025-01-15 13:00:00,Urban,0
T00351,U0779,18.04,Online,2025-01-15 14:00:00,Urban,0
T00352,U0988,19.67,POS,2025-01-15 15:00:00,Suburban,0
T00353,U0953,62.35,POS,2025-01-15 16:00:00,Urban,0
T00354,U0473,84.85,Online,2025-01-15 17:00:00,Urban,0
T00355,U0946,10.02,Online,2025-01-15 18:00:00,Rural,0
T00356,U0151,23.18,Mobile,2025-01-15 19:00:00,Urban,0
T00357,U0415,116.11,Online,2025-01-15 20:00:00,Urban,0
T00358,U0990,82.17,ATM,2025-01-15 21:00:00,Urban,0
T00359,U0298,209.52,ATM,2025-01-15 22:00:00,Urban,0
T00360,U0611,70.17,POS,2025-01-15 23:00:00,Suburban,0
T00361,U0263,24.98,Online,2025-01-16 00:00:00,Suburban,0
T00362,U0764,44.66,ATM,2025-01-16 01:00:00,Urban,0
T00363,U0144,54.09,POS,2025-01-16 02:00:00,Suburban,0
T00364,U0346,4.09,POS,2025-01-16 03:00:00,Urban,0
T00365,U0624,39.32,Online,2025-01-16 04:00:00,Urban,0
T00366,U0572,61.78,Online,2025-01-16 05:00:00,Suburban,0
T00367,U0881,9.16,Online,2025-01-16 06:00:00,Suburban,0
T00368,U0002,75.85,POS,2025-01-16 07:00:00,Urban,0
T00369,U0897,43.83,POS,2025-01-16 08:00:00,Urban,0
T00370,U0304,152.06,Online,2025-01-16 09:00:00,Urban,0
T00371,U0254,2.17,Online,2025-01-16 10:00:00,Urban,0
T00372,U0652,15.42,Online,2025-01-16 11:00:00,Urban,0
T00373,U0453,46.01,POS,2025-01-16 12:00:00,Suburban,0
T00374,U0037,17.59,Mobile,2025-01-16 13:00:00,Urban,0
T00375,U0160,62.66,Online,2025-01-16 14:00:00,Suburban,0
T00376,U0009,71.15,Online,2025-01-16 15:00:00,Urban,0
T00377,U0233,5.41,Online,2025-01-16 16:00:00,Urban,0
T00378,U0099,36.06,POS,2025-01-16 17:00:00,Urban,0
T00379,U0659,35.55,POS,2025-01-16 18:00:00,Urban,0
T00380,U0816,23.04,Mobile,2025-01-16 19:00:00,Suburban,0
T00381,U0208,135.1,Online,2025-01-16 20:00:00,Urban,0
T00382,U0131,87.87,Mobile,2025-01-16 21:00:00,Urban,0
T00383,U0404,59.74,Online,2025-01-16 22:00:00,Suburban,0
T00384,U0152,62.65,POS,2025-01-16 23:00:00,Suburban,0
T00385,U0054,30.97,Online,2025-01-17 00:00:00,Urban,0
T00386,U0120,126.91,ATM,2025-01-17 01:00:00,Urban,0
T00387,U0673,59.31,POS,2025-01-17 02:00:00,Suburban,0
T00388,U0920,65.28,POS,2025-01-17 03:00:00,Rural,0
T00389,U0628,98.91,ATM,2025-01-17 04:00:00,Suburban,0
T00390,U0587,16.02,Online,2025-01-17 05:00:00,Urban,0
T00391,U0625,82.27,Online,2025-01-17 06:00:00,Rural,0
T00392,U0968,10.86,ATM,2025-01-17 07:00:00,Urban,0
T00393,U0420,21.18,Online,2025-01-17 08:00:00,Urban,0
T00394,U0422,20.44,Online,2025-01-17 09:00:00,Suburban,0
T00395,U0104,192.04,Online,2025-01-17 10:00:00,Urban,0
T00396,U0852,97.08,POS,2025-01-17 11:00:00,Urban,0
T00397,U0254,60.39,Online,2025-01-17 12:00:00,Urban,0
T00398,U0227,64.92,Online,2025-01-17 13:00:00,Urban,0
T00399,U0112,41.29,Online,2025-01-17 14:00:00,Suburban,0
T00400,U0510,146.96,Online,2025-01-17 15:00:00,Suburban,0
T00401,U0473,34.28,ATM,2025-01-17 16:00:00,Urban,0
T00402,U0099,23.94,Mobile,2025-01-17 17:00:00,Urban,0
